,Country Name,Country Code,Year,Population,Period life expectancy at birth,Infant Mortality,GDP Per Capita,GNP Per Capita,PPP Per Capita,Continent,Log GDP Per Capita,Log GNP Per Capita,Log PPP Per Capita
183,South Africa,ZAF,1962,17418522.0,53.57,,563.42,550.0,,Africa,6.3340306938308535,6.309918278226516,
184,Zambia,ZMB,1962,3358099.0,51.33,96.8,202.28,180.0,,Africa,5.309657974035995,5.19295685089021,
185,Zimbabwe,ZWE,1962,4055959.0,54.45,76.5,275.55,210.0,,Africa,5.618753081824425,5.3471075307174685,
186,Aruba,ABW,1963,57002.0,64.94,,,,,North America,,,
187,Afghanistan,AFG,1963,9604487.0,34.2,242.5,,,,Asia,,,
188,Angola,AGO,1963,5408320.0,37.42,,,,,Africa,,,
189,Albania,ALB,1963,1762621.0,59.48,,,,,Europe,,,
190,Andorra,AND,1963,11915.0,73.3,,,,,Europe,,,
191,United Arab Emirates,ARE,1963,152211.0,53.51,123.9,,,,Asia,,,
192,Argentina,ARG,1963,21421705.0,64.86,,852.97,,,South America,6.748727220051724,,
193,Armenia,ARM,1963,2056023.0,60.41,,,,,Europe,,,
194,American Samoa,ASM,1963,21966.0,66.16,,,,,Oceania,,,
195,Antigua and Barbuda,ATG,1963,58138.0,64.7,50.4,,,,North America,,,
196,Australia,AUS,1963,10950000.0,70.96,19.1,1967.21,1970.0,,Oceania,7.584372221699871,7.585788821732034,
197,Austria,AUT,1963,7175811.0,69.65,31.2,1172.56,1160.0,,Europe,7.0669424937997904,7.05617528410041,
198,Azerbaijan,AZE,1963,4293550.0,52.7,,,,,Europe,,,
199,Burundi,BDI,1963,2969841.0,43.56,,78.37,80.0,,Africa,4.361456490556262,4.382026634673881,
200,Belgium,BEL,1963,9289770.0,70.04,26.0,1555.02,1560.0,,Europe,7.349245571659439,7.352441100243583,
201,Benin,BEN,1963,2652908.0,40.08,154.6,95.72,90.0,,Africa,4.561393173200839,4.499809670330265,
202,Burkina Faso,BFA,1963,4993623.0,37.09,167.5,78.91,80.0,,Africa,4.368292421558138,4.382026634673881,
203,Bangladesh,BGD,1963,56504402.0,45.72,163.7,94.14,,,Asia,4.544808256568327,,
204,Bulgaria,BGR,1963,8078145.0,70.34,34.1,,,,Europe,,,
205,Bahrain,BHR,1963,186501.0,55.45,124.9,,,,Asia,,,
206,Bosnia and Herzegovina,BIH,1963,3461942.0,60.51,,,,,Europe,,,
207,Belarus,BLR,1963,8437232.0,70.8,27.5,,,,Europe,,,
208,Belize,BLZ,1963,98704.0,59.32,,341.93,340.0,,North America,5.834613594201453,5.8289456176102075,
209,Bermuda,BMU,1963,45340.0,67.69,,1821.79,,,North America,7.507575314429684,,
210,Bolivia,BOL,1963,3938913.0,44.33,178.6,121.35,,,South America,4.798705935570669,,
211,Brazil,BRA,1963,79164235.0,54.45,117.6,294.17,260.0,,South America,5.684156537630268,5.560681631015528,
212,Barbados,BRB,1963,237557.0,66.2,57.4,420.5,510.0,,North America,6.04145491779678,6.234410725718371,
213,Bhutan,BTN,1963,245156.0,37.37,,,,,Asia,,,
214,Botswana,BWA,1963,552966.0,52.85,110.6,68.89,80.0,,Africa,4.2324589230790695,4.382026634673881,
215,Central African Republic,CAF,1963,1803063.0,41.09,151.0,71.76,70.0,,Africa,4.273260152634203,4.248495242049359,
216,Canada,CAN,1963,18964000.0,71.27,25.1,2380.32,2410.0,,North America,7.774989089286522,7.787382026484701,
